14028344,57,66780167,26.9707,41
4415279,55,19929105,23.2186,43
30003145,59,149798365,27.5993,41
5253685,56,36563083,26.4652,42
2021382,56,8786096,28.0093,42
969356,52,4055516,27.2438,36
7170013,52,32030813,23.1551,30
2618503,50,13453733,24.1421,32
313211,46,1210024,21.2528,32
17805045,59,83884674,27.6145,43
3525006,57,21727963,28.5974,43
32334,45,159222,26.055,35
831333,46,3474588,19.2081,36
26088053,59,128466684,28.3005,41
25792756,62,134981668,31.3038,44
909219,42,14934792,18.2362,24
-,-,-,-,-
1267588,55,5264340,27.114,43
154092,46,546601,22.8052,36
1995813,52,8644021,24.3913,36
5668025,54,24202808,26.1705,34
13338796,59,63203420,28.0872,41
1398857,49,10139061,24.0191,33
4691710,54,20857193,26.1072,34
6227205,52,27465877,24.4353,32
20161235,58,95006091,27.4215,40
11278428,53,61049664,25.2207,33
909442,52,3788666,27.6723,36
3917549,54,16818834,25.8956,38
215990,47,1679268,24.6197,35
192534,50,727363,27.9715,38
17025056,59,79065487,29.1138,43
18535767,60,97005050,29.927,42
2063117,52,9001715,25.8046,36
4626661,55,19459297,26.7713,39
2309697,52,10921724,25.5512,36
20889986,58,97002011,27.4472,40
827864,53,10557419,28.5354,41
1118025,49,4800091,24.0658,35
6540243,54,29228276,26.1799,36
5727374,54,27691967,25.9317,36
48447,42,192850,23.0313,30
7332466,64,31758080,32.9643,48
2731989,50,13774148,24.342,32
539196,51,2116901,27.1039,39
1430455,49,6040749,22.6731,35
179689,47,670784,25.2614,35
119535,49,416594,25.0452,39
-,-,-,-,-
4399444,53,18828871,24.8536,39
3031922,56,13554727,27.9326,44
11641228,56,52861413,26.5958,38
38607523,64,190157622,30.3208,50
7221615,56,51050976,27.5994,40
152123,41,627983,20.3261,29
-,-,-,-,-
484048,50,1966649,25.9512,36
506538,51,2019365,25.3815,37
-,-,-,-,-
-,-,-,-,-
508957,45,2067872,21.4557,31
1828847,57,7928683,28.9623,43
21862510,56,104478315,25.3249,40
5622335,51,33318187,23.3529,31
920623,47,3976276,22.3549,31
-,-,-,-,-
8430894,50,38938143,23.6042,28
5471060,51,25283291,24.8541,31
4579005,53,20948364,25.103,37
8179227,52,37519026,24.4105,30
557862,44,4516994,20.3247,30
34437004,56,174912365,25.1813,38
188717,49,15543815,23.7449,37
1373939,56,5907303,28.6286,46
3440513,48,15442226,21.7993,30
7622602,57,35870880,27.5462,41
2184110,54,11616667,27.3897,34
619299,53,2530229,27.2431,41
68633,42,232800,21.4694,28
3951356,57,18276336,26.7991,43
744209,53,4276283,27.8451,39
-,-,-,-,-
1900358,49,8446654,23.8365,31
10972804,55,50083637,26.4604,37
158355,44,3749705,20.6442,32
195222,45,738814,22.108,35
4681483,52,20352778,25.7233,34
-,-,-,-,-
3559259,54,15441395,26.2876,38
820923,50,3427572,25.8807,36
18150875,57,84691647,26.6849,41
-,-,-,-,-
438960,46,1781831,20.7156,34
276325,53,1035645,27.7079,45
751475,50,3136797,24.8552,34
1263033,49,5347783,22.7288,35
191601,44,718334,21.02,32
9499694,54,43280217,24.8865,34
5342754,57,26595863,28.5898,39
4484857,54,20257492,25.0004,38
